"camel-snake-kebab","0.4.2","Eclipse Public License"
"primitive-math","0.1.6","MIT License"
"org.clojure/clojure","1.10.3","Eclipse Public License 1.0"
"org.clojure/test.check","1.1.0","Eclipse Public License 1.0"
"io.confluent/kafka-schema-serializer","6.1.1","Apache License 2.0"
"nrepl","0.8.3","Eclipse Public License"
"io.netty/netty-transport-native-epoll","4.1.63.Final","Apache License, Version 2.0"
"clj-tuple","0.2.2","MIT License"
"org.clojure/java.classpath","0.3.0","Eclipse Public License 1.0"
"io.prometheus/simpleclient_common","0.9.0","The Apache Software License, Version 2.0"
"org.openjdk.jmh/jmh-core","1.24","GNU General Public License (GPL), version 2, with the Classpath exception"
"com.fasterxml.jackson.core/jackson-core","2.10.2","The Apache Software License, Version 2.0"
"amalloy/ring-buffer","1.3.1","Eclipse Public License"
"clj-time","0.15.1","MIT License"
"org.clojure/spec.alpha","0.2.194","Eclipse Public License 1.0"
"ns-tracker","0.4.0","Eclipse Public License"
"borkdude/edamame","0.0.11","Eclipse Public License 1.0"
"io.netty/netty-resolver-dns","4.1.63.Final","Apache License, Version 2.0"
"org.clojure/tools.logging","0.4.1","Eclipse Public License 1.0"
"io.swagger/swagger-annotations","1.6.2","Apache License 2.0"
"org.apache.kafka/kafka-streams","2.8.0","Apache License"
"org.apache.kafka/connect-json","2.8.0","Apache License"
"io.netty/netty-codec","4.1.63.Final","Apache License, Version 2.0"
"com.brunobonacci/mulog-filesystem-metrics","0.8.0","Apache License 2.0"
"org.clojure/tools.namespace","0.2.11","Eclipse Public License 1.0"
"potemkin","0.4.5","MIT License"
"org.clojure/core.specs.alpha","0.2.56","Eclipse Public License 1.0"
"org.fressian/fressian","0.6.6","Eclipse Public License 1.0"
"org.clojure/data.json","0.2.6","Eclipse Public License 1.0"
"org.clojure/data.priority-map","0.0.7","Eclipse Public License 1.0"
"org.apache.avro/avro","1.9.2","Apache License, Version 2.0"
"com.github.piotr-yuxuan/malli-cli","0.0.5","European Union Public License 1.2 or later"
"io.prometheus/simpleclient","0.9.0","The Apache Software License, Version 2.0"
"danlentz/clj-uuid","0.1.9","Eclipse Public License"
"com.brunobonacci/mulog","0.8.0","Apache License 2.0"
"riddley","0.1.12","MIT License"
"org.glassfish.hk2.external/jakarta.inject","2.6.1","EPL 2.0"
"manifold","0.1.8","MIT License"
"net.sf.jopt-simple/jopt-simple","4.6","The MIT License"
"io.netty/netty-common","4.1.63.Final","Apache License, Version 2.0"
"io.netty/netty-handler-proxy","4.1.63.Final","Apache License, Version 2.0"
"io.netty/netty-codec-http","4.1.63.Final","Apache License, Version 2.0"
"io.netty/netty-resolver","4.1.63.Final","Apache License, Version 2.0"
"io.confluent/common-utils","6.1.1","unknown"
"org.clojure/tools.reader","1.3.4","Eclipse Public License 1.0"
"org.glassfish.jersey.core/jersey-common","2.31","EPL 2.0"
"byte-streams","0.2.4","MIT License"
"io.netty/netty-transport","4.1.63.Final","Apache License, Version 2.0"
"org.lz4/lz4-java","1.7.1","unknown"
"com.clojure-goes-fast/clj-async-profiler","0.5.0","Eclipse Public License"
"insn","0.2.1","Eclipse Public License"
"org.apache.commons/commons-math3","3.2","The Apache Software License, Version 2.0"
"com.brunobonacci/mulog-jvm-metrics","0.8.0","Apache License 2.0"
